Frame,Time,X,Y
598,23.92,204.796769,126.717163
599,23.96,205.022035,126.736728
600,24,205.021989,126.736662
601,24.04,205.021943,126.736596
602,24.08,205.221124,126.565587
603,24.12,205.341497,126.372839
604,24.16,205.220516,126.561121
605,24.2,205.45397,126.317128
606,24.24,205.659667,126.220232
607,24.28,205.6651,126.349537
608,24.32,205.658468,126.213125
609,24.36,205.69927,126.439866
610,24.4,205.510701,126.716977
611,24.44,205.415794,126.833233
612,24.48,205.510381,126.718583
613,24.52,205.359154,126.889006
614,24.56,205.242775,126.963715
615,24.6,205.259777,127.020063
616,24.64,205.243672,126.961158
617,24.68,205.288179,127.107082
618,24.72,205.351027,127.118438
619,24.76,205.35617,127.145143
620,24.8,205.351591,127.118526
621,24.84,205.350811,127.236668
622,24.88,205.328945,127.522996
623,24.92,205.355984,127.607945
624,24.96,205.33045,127.520171
625,25,205.392576,127.755707
626,25.04,205.536903,128.167954
627,25.08,205.58045,128.331766
628,25.12,205.536282,128.166371
629,25.16,205.565353,128.509894
630,25.2,205.430033,128.945904
631,25.24,205.234496,129.057288
632,25.28,205.429129,128.943222
633,25.32,204.999234,129.232968
634,25.36,204.425876,129.499425
635,25.4,204.092399,129.606937
636,25.44,204.420351,129.494619
637,25.48,203.871535,129.53276
638,25.52,203.322074,129.384352
639,25.56,203.086237,129.343667
640,25.6,203.316395,129.374887
641,25.64,202.956328,129.17299
642,25.68,202.613838,128.747499
643,25.72,202.460469,128.493179
644,25.76,202.615754,128.741195
645,25.8,202.318948,128.284013
646,25.84,201.978364,127.784101
647,25.88,201.860504,127.507055
648,25.92,201.981317,127.774485
649,25.96,201.709044,127.133055
650,26,201.445605,126.520537
651,26.04,201.373365,126.273437
652,26.08,201.445657,126.514915
653,26.12,201.292786,126.032324
654,26.16,201.190284,125.846697
655,26.2,201.141969,125.899108
656,26.24,201.190925,125.840728
657,26.28,201.055809,125.844642
658,26.32,200.923688,125.890388
659,26.36,200.894749,125.88203
660,26.4,200.922095,125.886128
661,26.44,200.83706,125.736619
662,26.48,200.820693,125.549004
663,26.52,200.836874,125.521358
664,26.56,200.821767,125.54823
665,26.6,200.871179,125.419815
666,26.64,200.959576,125.32287
667,26.68,201.039809,125.302906
668,26.72,200.959848,125.322146
669,26.76,201.06409,125.261296
670,26.8,201.125716,125.163431
671,26.84,201.126689,125.261424
672,26.88,201.126228,125.162051
673,26.92,201.169796,125.260783
674,26.96,201.19395,125.31029
675,27,201.235356,125.321644
676,27.04,201.194284,125.307207
677,27.08,201.269376,125.271024
678,27.12,201.396286,125.270144
679,27.16,201.42176,125.188313
680,27.2,201.395668,125.266576
681,27.24,201.477091,125.07132
682,27.28,201.621559,124.916931
683,27.32,201.664621,124.811678
684,27.36,201.620982,124.912094
685,27.4,201.753168,124.743859
686,27.44,201.929687,124.514918
687,27.48,202.035777,124.436028
688,27.52,201.92869,124.51223
689,27.56,202.118644,124.262626
690,27.6,202.308651,123.942161
691,27.64,202.382155,123.825366
692,27.68,202.308627,123.941391
693,27.72,202.448856,123.64746
694,27.76,202.473198,123.565376
695,27.8,202.440476,123.552416
696,27.84,202.472716,123.564375
697,27.88,202.328564,123.539499
698,27.92,202.052236,123.433552
699,27.96,201.734914,123.143807
700,28,201.734831,123.143824
701,28.04,201.734748,123.14384
702,28.08,201.413016,122.837555
703,28.12,201.228013,122.779502
704,28.16,201.411581,122.832063
705,28.2,200.975014,122.63154
706,28.24,200.61442,122.188768
707,28.28,200.51594,122.003561
708,28.32,200.613487,122.185954
709,28.36,200.44254,121.939173
710,28.4,200.569502,121.725992
711,28.44,200.722038,121.739868
712,28.48,200.567574,121.722521
713,28.52,200.877301,121.655278
714,28.56,201.228367,121.796952
715,28.6,201.381225,121.924238
716,28.64,201.229186,121.795524
717,28.68,201.488777,122.194739
718,28.72,201.571058,122.510727
719,28.76,201.576724,122.638601
720,28.8,201.571092,122.505797
721,28.84,201.561631,122.848356
722,28.88,201.501252,123.274446
723,28.92,201.411951,123.333016
724,28.96,201.501789,123.272664
725,29,201.294511,123.319012
726,29.04,200.944373,122.940796
727,29.08,200.832556,122.70782
728,29.12,200.944535,122.937604
729,29.16,200.742634,122.408141
730,29.2,200.78945,121.83875
731,29.24,200.893966,121.606141
732,29.28,200.787502,121.841852
733,29.32,201.006436,121.417833
734,29.36,201.3821,121.139493
735,29.4,201.647089,121.071619
736,29.44,201.376571,121.145664
737,29.48,201.865969,120.904193
738,29.52,202.295468,120.903746
739,29.56,202.391392,120.778477
740,29.6,202.295466,120.899867
741,29.64,202.421513,120.774852
742,29.68,202.302749,120.744593
743,29.72,202.21326,120.762273
744,29.76,202.302719,120.734752
745,29.8,202.039337,120.789567
746,29.84,201.608162,121.194616
747,29.88,201.328593,121.495039
748,29.92,201.607408,121.190534
749,29.96,201.060736,121.607288
750,30,200.35945,122.042057
751,30.04,200.006813,122.249104
752,30.08,200.358985,122.042076
753,30.12,199.675449,122.430159
754,30.16,198.874615,122.428882
755,30.2,198.521381,122.389511
756,30.24,198.877072,122.419042
757,30.28,198.191462,122.257054
758,30.32,197.492254,121.92163
759,30.36,197.194857,121.859158
760,30.4,197.492721,121.914835
761,30.44,196.841763,121.753197
762,30.48,195.997357,121.792542
763,30.52,195.5563,121.944458
764,30.56,196.000996,121.791478
765,30.6,195.152003,122.214213
766,30.64,194.548853,122.756843
767,30.68,194.343033,123.015056
768,30.72,194.553685,122.821595
769,30.76,194.115466,123.334211
770,30.8,194.071222,123.949748
771,30.84,194.253631,123.563795
772,30.88,194.0639,124.016403
773,30.92,193.981517,124.12907
774,30.96,193.980319,123.868897
775,31,193.940075,123.788939
776,31.04,193.98002,123.864461
777,31.08,193.898603,123.788316
778,31.12,193.804018,123.822528
779,31.16,193.765031,123.969456
780,31.2,193.806527,123.817995
781,31.24,193.713565,124.102641
782,31.28,193.566812,124.715647
783,31.32,193.432445,125.182529
784,31.36,193.567292,124.719873
785,31.4,193.270043,125.466582
786,31.44,193.278819,124.907182
787,31.48,193.341395,125.297235
788,31.52,193.29832,124.958742
789,31.56,193.294143,125.264067
790,31.6,193.473,125.051768
791,31.64,193.697655,125.128411
792,31.68,193.472921,125.06004
793,31.72,193.878587,125.036775
794,31.76,194.258749,124.860062
795,31.8,194.484791,124.743274
796,31.84,194.261705,124.855139
797,31.88,194.630356,124.562999
798,31.92,194.993383,124.23595
799,31.96,195.385114,123.94113
800,32,195.385078,123.940975
801,32.04,195.385042,123.940819
802,32.08,195.828925,123.534788
803,32.12,196.103388,123.373673
804,32.16,195.829293,123.532716
805,32.2,196.362807,123.263652
806,32.24,196.825498,123.156495
807,32.28,197.034931,123.171857
808,32.32,196.826886,123.150727
809,32.36,197.246687,123.143887
810,32.4,197.604893,122.991449
811,32.44,197.800277,123.013017
812,32.48,197.605784,122.986028
813,32.52,197.950988,122.933094
814,32.56,198.326807,122.732374
815,32.6,198.527548,122.748661
816,32.64,198.327345,122.732802
817,32.68,198.674736,122.702317
818,32.72,198.969014,122.621244
819,32.76,199.071578,122.634862
820,32.8,198.96841,122.613795
821,32.84,199.155205,122.793906
822,32.88,199.232467,123.184087
823,32.92,199.215095,123.429355
824,32.96,199.231502,123.18174
825,33,199.146541,123.576976
826,33.04,199.027653,123.890163
827,33.08,199.000204,123.89196
828,33.12,199.026415,123.888927
829,33.16,198.958307,123.843037
830,33.2,198.968143,123.814788
831,33.24,199.011923,123.713873
832,33.28,198.967569,123.816125
833,33.32,199.042344,123.678816
834,33.36,199.196311,123.429457
835,33.4,199.301593,123.276998
836,33.44,199.193247,123.429602
837,33.48,199.408236,123.201351
838,33.52,199.681543,123.010179
839,33.56,199.816974,122.816351
840,33.6,199.681754,123.007908
841,33.64,199.988723,122.726405
842,33.68,200.204793,122.747835
843,33.72,200.287097,122.795024
844,33.76,200.203531,122.744295
845,33.8,200.315086,122.914634
846,33.84,200.399584,122.896914
847,33.88,200.450307,122.801884
848,33.92,200.399286,122.893705
849,33.96,200.500207,122.580454
850,34,200.520018,122.294077
851,34.04,200.521984,122.149952
852,34.08,200.520378,122.291009
853,34.12,200.527,121.864761
854,34.16,200.629023,121.381722
855,34.2,200.685099,121.182286
856,34.24,200.630916,121.378812
857,34.28,200.735736,120.933753
858,34.32,200.926115,120.686419
859,34.36,201.017174,120.613555
860,34.4,200.926107,120.684656
861,34.44,201.043488,120.465723
862,34.48,201.135103,120.297884
863,34.52,201.194922,120.198131
864,34.56,201.134579,120.29619
865,34.6,201.237051,120.134048
866,34.64,201.366469,119.991464
867,34.68,201.424187,119.927189
868,34.72,201.367605,119.988571
869,34.76,201.482775,119.914783
870,34.8,201.617141,119.865563
871,34.84,201.70457,119.852224
872,34.88,201.617043,119.866485
873,34.92,201.858045,119.849582
874,34.96,202.129564,120.031125
875,35,202.225993,120.283461
876,35.04,202.127929,120.025449
