Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
PrB_Rup,Sarod,Rupak,3:6&,6,&,2,,,,TS,30.016176,29.974645,1,2,0.115782,0.076757,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,03:07,7,On,2,,,,TS,30.422514,,1.5,,0.062319,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,3:7&,7,&,2,,,,TS,30.863805,30.85341,1.5,1.5,0.177085,0.035824,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,04:01,1,On,2,,,,TS,31.37858,31.316971,2,1.5,0.069081,0.067409,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,4:1&,1,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,04:02,2,On,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,4:2&,2,&,2,,,,TS,,32.710212,,1.5,,0.100748,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,04:03,3,On,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,4:3&,3,&,2,,,,TS,,33.620579,,1,,0.061796,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,04:04,4,On,2,,,,TS,34.019319,34.062892,0.5,1.5,0.18107,0.06832,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,4:4&,4,&,2,,,,TS,,34.460394,,2,,0.046534,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,04:05,5,On,2,,,,TS,34.912877,34.888367,1,2,0.077511,0.077473,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,4:5&,5,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,04:06,6,On,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,4:6&,6,&,2,,,,TS,36.238417,36.219345,1,1.5,0.114916,0.07196,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,04:07,7,On,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,4:7&,7,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,05:01,1,On,2,,,,TS,,37.588469,,1.5,,0.080386,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,5:1&,1,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,05:02,2,On,2,,,,TS,38.571219,,0.5,,0.060659,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,5:2&,2,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,05:03,3,On,2,,,,TS,,39.354697,,2,,0.063191,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,5:3&,3,&,2,,,,TS,,39.765959,,2,,0.058915,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,05:04,4,On,2,,,,TS,40.219383,40.180953,1,2.5,0.146915,0.038992,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,5:4&,4,&,2,,,,TS,,40.61617,,3,,0.068416,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,05:05,5,On,2,,,,TS,41.03454,,1,,0.079014,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,5:5&,5,&,2,,,,TS,,41.405211,,2.5,,0.076447,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,05:06,6,On,2,,,,TS,,41.865829,,2.5,,0.0602,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,5:6&,6,&,2,,,,TS,42.287525,42.3019,1,3,0.172645,0.091482,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,05:07,7,On,2,,,,TS,42.736012,,1.5,,0.109845,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,5:7&,7,&,2,,,,TS,43.161772,43.1194,1.5,2.5,0.063547,0.077679,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,06:01,1,On,2,,,,TS,43.623489,43.539144,2,2.5,0.108309,0.060925,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,6:1&,1,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,06:02,2,On,2,,,,TS,44.400379,44.40293,2.5,2,0.104089,0.038755,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,6:2&,2,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,06:03,3,On,2,,,,TS,,45.223481,,2.5,,0.080116,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,6:3&,3,&,2,,,,TS,45.678716,,1.5,,0.365,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,06:04,4,On,2,,,,TS,46.076039,,2,,0.25712,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,6:4&,4,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,06:05,5,On,2,,,,TS,46.955099,,2,,0.075965,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
